2025-01-04 14:07:24,181 - I log actions! :D
2025-01-04 14:10:13,362 - Player: 1 | Cards Played: [AS, 8C] | Boss Defeated: False | Player Died: False
2025-01-04 14:10:13,364 - Player: 2 | Cards Played: [AC] | Boss Defeated: True | Player Died: False
2025-01-04 14:10:13,364 - Player: 2 | Cards Played: [5C, 5D] | Boss Defeated: False | Player Died: False
2025-01-04 14:10:13,364 - Player: 1 | Cards Played: [6H] | Boss Defeated: False | Player Died: False
2025-01-04 14:10:13,364 - Player: 2 | Cards Played: [JD] | Boss Defeated: True | Player Died: False
2025-01-04 14:10:13,364 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 14:10:13,364 - Player: 1 | Cards Played: [6S] | Boss Defeated: False | Player Died: False
2025-01-04 14:10:13,364 - Player: 2 | Cards Played: [2D] | Boss Defeated: False | Player Died: False
2025-01-04 14:10:13,364 - Player: 1 | Cards Played: [9D] | Boss Defeated: False | Player Died: False
2025-01-04 14:10:13,364 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 14:10:13,364 - Player: 1 | Cards Played: [2H] | Boss Defeated: False | Player Died: False
2025-01-04 14:10:13,364 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 14:10:13,364 - Player: 1 | Cards Played: [4C, 4D] | Boss Defeated: True | Player Died: False
2025-01-04 14:10:13,364 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 14:10:13,365 - Player: 2 | Cards Played: [AD, 4H] | Boss Defeated: False | Player Died: False
2025-01-04 14:10:13,365 - Player: 1 | Cards Played: [AH, 3C] | Boss Defeated: False | Player Died: False
2025-01-04 14:10:13,365 - Player: 2 | Cards Played: [7D] | Boss Defeated: True | Player Died: False
2025-01-04 14:10:13,365 - Player: 2 | Cards Played: [AS, 7H] | Boss Defeated: False | Player Died: False
2025-01-04 14:10:13,365 - Player: 1 | Cards Played: [7S] | Boss Defeated: False | Player Died: False
2025-01-04 14:10:13,365 - Player: 2 | Cards Played: [AC, 3H] | Boss Defeated: False | Player Died: False
2025-01-04 14:10:13,365 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 14:10:13,365 - Player: 2 | Cards Played: [4S] | Boss Defeated: False | Player Died: False
2025-01-04 14:10:13,365 - Player: 1 | Cards Played: [6D] | Boss Defeated: True | Player Died: False
2025-01-04 14:10:13,365 - Player: 1 | Cards Played: [JS] | Boss Defeated: False | Player Died: False
2025-01-04 14:10:13,365 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 14:10:13,365 - Player: 1 | Cards Played: [5S] | Boss Defeated: False | Player Died: False
2025-01-04 14:10:13,365 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 14:10:13,365 - Player: 1 | Cards Played: [3S] | Boss Defeated: False | Player Died: False
2025-01-04 14:10:13,365 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 14:10:13,365 - Player: 1 | Cards Played: [6H] | Boss Defeated: False | Player Died: False
2025-01-04 14:10:13,365 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 14:10:13,365 - Player: 1 | Cards Played: [2C] | Boss Defeated: False | Player Died: False
2025-01-04 14:10:13,365 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 14:10:13,365 - Player: 1 | Cards Played: [8H] | Boss Defeated: True | Player Died: False
2025-01-04 14:10:13,365 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: True
