2025-01-04 15:54:39,999 - I log actions! :D
2025-01-04 15:54:40,633 - Player: 1 | Cards Played: [5D, 5S] | Boss Defeated: False | Player Died: False
2025-01-04 15:54:40,633 - Player: 2 | Cards Played: [3D] | Boss Defeated: False | Player Died: False
2025-01-04 15:54:40,633 - Player: 1 | Cards Played: [8C] | Boss Defeated: True | Player Died: False
2025-01-04 15:54:40,633 - Player: 1 | Cards Played: [AD, 8S] | Boss Defeated: False | Player Died: False
2025-01-04 15:54:40,633 - Player: 2 | Cards Played: [AC, TS] | Boss Defeated: True | Player Died: False
2025-01-04 15:54:40,633 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 15:54:40,633 - Player: 1 | Cards Played: [TD] | Boss Defeated: False | Player Died: False
2025-01-04 15:54:40,633 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 15:54:40,633 - Player: 1 | Cards Played: [6S] | Boss Defeated: False | Player Died: False
2025-01-04 15:54:40,633 - Player: 2 | Cards Played: [3S] | Boss Defeated: False | Player Died: False
2025-01-04 15:54:40,633 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 15:54:40,633 - Player: 2 | Cards Played: [3H] | Boss Defeated: True | Player Died: False
2025-01-04 15:54:40,633 - Player: 2 | Cards Played: [2C] | Boss Defeated: False | Player Died: True
