2025-01-04 15:57:33,286 - I log actions! :D
2025-01-04 15:57:33,916 - Player: 1 | Cards Played: [AC, 2D] | Boss Defeated: False | Player Died: False
2025-01-04 15:57:33,916 - Player: 2 | Cards Played: [2C] | Boss Defeated: False | Player Died: False
2025-01-04 15:57:33,916 - Player: 1 | Cards Played: [8D] | Boss Defeated: False | Player Died: False
2025-01-04 15:57:33,916 - Player: 2 | Cards Played: [AH] | Boss Defeated: False | Player Died: False
2025-01-04 15:57:33,916 - Player: 1 | Cards Played: [3S] | Boss Defeated: True | Player Died: False
2025-01-04 15:57:33,916 - Player: 1 | Cards Played: [8S] | Boss Defeated: False | Player Died: False
2025-01-04 15:57:33,916 - Player: 2 | Cards Played: [7D] | Boss Defeated: False | Player Died: False
2025-01-04 15:57:33,917 - Player: 1 | Cards Played: [7H] | Boss Defeated: True | Player Died: False
2025-01-04 15:57:33,917 - Player: 1 | Cards Played: [5H, 5S] | Boss Defeated: False | Player Died: False
2025-01-04 15:57:33,917 - Player: 2 | Cards Played: [AS, 5D] | Boss Defeated: False | Player Died: False
2025-01-04 15:57:33,917 - Player: 1 | Cards Played: [2S] | Boss Defeated: False | Player Died: False
2025-01-04 15:57:33,917 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 15:57:33,917 - Player: 1 | Cards Played: [7C] | Boss Defeated: True | Player Died: False
2025-01-04 15:57:33,917 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: True
