2025-01-04 15:58:16,185 - I log actions! :D
2025-01-04 15:58:17,110 - Player: 1 | Cards Played: [AD, TH] | Boss Defeated: False | Player Died: False
2025-01-04 15:58:17,110 - Player: 2 | Cards Played: [3D] | Boss Defeated: False | Player Died: False
2025-01-04 15:58:17,111 - Player: 1 | Cards Played: [7C] | Boss Defeated: True | Player Died: False
2025-01-04 15:58:17,111 - Player: 1 | Cards Played: [8D] | Boss Defeated: False | Player Died: False
2025-01-04 15:58:17,111 - Player: 2 | Cards Played: [7H] | Boss Defeated: False | Player Died: False
2025-01-04 15:58:17,111 - Player: 1 | Cards Played: [9D] | Boss Defeated: True | Player Died: False
2025-01-04 15:58:17,111 - Player: 1 | Cards Played: [9S] | Boss Defeated: False | Player Died: False
2025-01-04 15:58:17,111 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 15:58:17,111 - Player: 1 | Cards Played: [2S] | Boss Defeated: False | Player Died: False
2025-01-04 15:58:17,111 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 15:58:17,111 - Player: 1 | Cards Played: [3C] | Boss Defeated: False | Player Died: False
2025-01-04 15:58:17,111 - Player: 2 | Cards Played: [2D] | Boss Defeated: False | Player Died: False
2025-01-04 15:58:17,111 - Player: 1 | Cards Played: [8C] | Boss Defeated: True | Player Died: False
2025-01-04 15:58:17,111 - Player: 1 | Cards Played: [7D] | Boss Defeated: False | Player Died: False
2025-01-04 15:58:17,111 - Player: 2 | Cards Played: [AH, 4H] | Boss Defeated: False | Player Died: False
2025-01-04 15:58:17,111 - Player: 1 | Cards Played: [AS, 3S] | Boss Defeated: False | Player Died: False
2025-01-04 15:58:17,111 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 15:58:17,111 - Player: 1 | Cards Played: [4D] | Boss Defeated: True | Player Died: False
2025-01-04 15:58:17,111 - Player: 1 | Cards Played: [2H] | Boss Defeated: False | Player Died: True
