2025-01-04 16:01:42,407 - I log actions! :D
2025-01-04 16:01:54,992 - Player: 1 | Cards Played: [TC] | Boss Defeated: True | Player Died: False
2025-01-04 16:01:54,992 - Player: 1 | Cards Played: [AD, 6S] | Boss Defeated: False | Player Died: False
2025-01-04 16:01:54,992 - Player: 2 | Cards Played: [AS, 3H] | Boss Defeated: False | Player Died: False
2025-01-04 16:01:54,992 - Player: 1 | Cards Played: [2D] | Boss Defeated: False | Player Died: False
2025-01-04 16:01:54,992 - Player: 2 | Cards Played: [AC, 3S] | Boss Defeated: False | Player Died: False
2025-01-04 16:01:54,992 - Player: 1 | Cards Played: [9D] | Boss Defeated: True | Player Died: False
2025-01-04 16:01:54,992 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 16:01:54,993 - Player: 2 | Cards Played: [2S] | Boss Defeated: False | Player Died: False
2025-01-04 16:01:54,993 - Player: 1 | Cards Played: [6D] | Boss Defeated: False | Player Died: False
2025-01-04 16:01:54,993 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 16:01:54,993 - Player: 1 | Cards Played: [TD] | Boss Defeated: False | Player Died: False
2025-01-04 16:01:54,993 - Player: 2 | Cards Played: [AH, 7D] | Boss Defeated: True | Player Died: False
2025-01-04 16:01:54,993 - Player: 2 | Cards Played: [5H, 5S] | Boss Defeated: False | Player Died: False
2025-01-04 16:01:54,993 - Player: 1 | Cards Played: [9C] | Boss Defeated: True | Player Died: False
2025-01-04 16:01:54,993 - Player: 1 | Cards Played: [TS] | Boss Defeated: False | Player Died: False
2025-01-04 16:01:54,993 - Player: 2 | Cards Played: [8D] | Boss Defeated: False | Player Died: False
2025-01-04 16:01:54,993 - Player: 1 | Cards Played: [3C, 3D] | Boss Defeated: True | Player Died: False
2025-01-04 16:01:54,993 - Player: 1 | Cards Played: [4H, 4S] | Boss Defeated: False | Player Died: False
2025-01-04 16:01:54,993 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 16:01:54,993 - Player: 1 | Cards Played: [7S] | Boss Defeated: False | Player Died: False
2025-01-04 16:01:54,993 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 16:01:54,993 - Player: 1 | Cards Played: [2C] | Boss Defeated: False | Player Died: False
2025-01-04 16:01:54,993 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 16:01:54,993 - Player: 1 | Cards Played: [4C] | Boss Defeated: False | Player Died: False
2025-01-04 16:01:54,993 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 16:01:54,993 - Player: 1 | Cards Played: [8C] | Boss Defeated: True | Player Died: False
2025-01-04 16:01:54,993 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: True
