2025-01-04 16:05:11,668 - I log actions! :D
2025-01-04 16:10:28,744 - Player: 1 | Cards Played: [AC, 9S] | Boss Defeated: False | Player Died: False
2025-01-04 16:10:28,745 - Player: 2 | Cards Played: [2D] | Boss Defeated: False | Player Died: False
2025-01-04 16:10:28,745 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 16:10:28,745 - Player: 2 | Cards Played: [3D] | Boss Defeated: False | Player Died: False
2025-01-04 16:10:28,745 - Player: 1 | Cards Played: [2C] | Boss Defeated: False | Player Died: False
2025-01-04 16:10:28,746 - Player: 2 | Cards Played: [AH] | Boss Defeated: False | Player Died: False
2025-01-04 16:10:28,746 - Player: 1 | Cards Played: [6D] | Boss Defeated: True | Player Died: False
2025-01-04 16:10:28,746 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 16:10:28,746 - Player: 2 | Cards Played: [8S] | Boss Defeated: False | Player Died: False
2025-01-04 16:10:28,746 - Player: 1 | Cards Played: [TD] | Boss Defeated: False | Player Died: False
2025-01-04 16:10:28,746 - Player: 2 | Cards Played: [4D, 4S] | Boss Defeated: True | Player Died: False
2025-01-04 16:10:28,746 - Player: 2 | Cards Played: [TS] | Boss Defeated: False | Player Died: False
2025-01-04 16:10:28,746 - Player: 1 | Cards Played: [4H] | Boss Defeated: False | Player Died: False
2025-01-04 16:10:28,746 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 16:10:28,746 - Player: 1 | Cards Played: [2H, 2S] | Boss Defeated: False | Player Died: False
2025-01-04 16:10:28,746 - Player: 2 | Cards Played: [5C] | Boss Defeated: True | Player Died: False
2025-01-04 16:10:28,746 - Player: 2 | Cards Played: [7C] | Boss Defeated: False | Player Died: False
2025-01-04 16:10:28,746 - Player: 1 | Cards Played: [8D] | Boss Defeated: True | Player Died: False
2025-01-04 16:10:28,746 - Player: 1 | Cards Played: [AS, 7D] | Boss Defeated: False | Player Died: False
2025-01-04 16:10:28,746 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 16:10:28,746 - Player: 1 | Cards Played: [7S] | Boss Defeated: False | Player Died: False
2025-01-04 16:10:28,746 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 16:10:28,746 - Player: 1 | Cards Played: [AD, 7H] | Boss Defeated: False | Player Died: False
2025-01-04 16:10:28,746 - Player: 2 | Cards Played: [3C] | Boss Defeated: False | Player Died: False
2025-01-04 16:10:28,746 - Player: 1 | Cards Played: [3D] | Boss Defeated: False | Player Died: False
2025-01-04 16:10:28,746 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 16:10:28,746 - Player: 1 | Cards Played: [5H] | Boss Defeated: True | Player Died: False
2025-01-04 16:10:28,746 - Player: 1 | Cards Played: [8S] | Boss Defeated: False | Player Died: False
2025-01-04 16:10:28,746 - Player: 2 | Cards Played: [5D] | Boss Defeated: False | Player Died: False
2025-01-04 16:10:28,746 - Player: 1 | Cards Played: [9S] | Boss Defeated: False | Player Died: False
2025-01-04 16:10:28,746 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 16:10:28,746 - Player: 1 | Cards Played: [2C] | Boss Defeated: False | Player Died: False
2025-01-04 16:10:28,746 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 16:10:28,746 - Player: 1 | Cards Played: [AC, JD] | Boss Defeated: True | Player Died: False
2025-01-04 16:10:28,746 - Player: 1 | Cards Played: [AH, 9H] | Boss Defeated: False | Player Died: False
2025-01-04 16:10:28,746 - Player: 2 | Cards Played: [TD] | Boss Defeated: False | Player Died: False
2025-01-04 16:10:28,746 - Player: 1 | Cards Played: [5H] | Boss Defeated: False | Player Died: False
2025-01-04 16:10:28,746 - Player: 2 | Cards Played: [4C, 4D] | Boss Defeated: True | Player Died: False
2025-01-04 16:10:28,746 - Player: 2 | Cards Played: [5S] | Boss Defeated: False | Player Died: False
2025-01-04 16:10:28,746 - Player: 1 | Cards Played: [4S] | Boss Defeated: False | Player Died: False
2025-01-04 16:10:28,746 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 16:10:28,746 - Player: 1 | Cards Played: [6S] | Boss Defeated: False | Player Died: False
2025-01-04 16:10:28,746 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 16:10:28,746 - Player: 1 | Cards Played: [7H] | Boss Defeated: False | Player Died: False
2025-01-04 16:10:28,746 - Player: 2 | Cards Played: [6H] | Boss Defeated: False | Player Died: False
2025-01-04 16:10:28,746 - Player: 1 | Cards Played: [3C] | Boss Defeated: True | Player Died: False
2025-01-04 16:10:28,746 - Player: 1 | Cards Played: [JD] | Boss Defeated: False | Player Died: False
2025-01-04 16:10:28,746 - Player: 2 | Cards Played: [3H, 3S] | Boss Defeated: False | Player Died: False
2025-01-04 16:10:28,746 - Player: 1 | Cards Played: [8D] | Boss Defeated: False | Player Died: False
2025-01-04 16:10:28,746 - Player: 2 | Cards Played: [2S] | Boss Defeated: False | Player Died: False
2025-01-04 16:10:28,746 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 16:10:28,746 - Player: 2 | Cards Played: [2D] | Boss Defeated: False | Player Died: False
2025-01-04 16:10:28,746 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 16:10:28,746 - Player: 2 | Cards Played: [AD, 4H] | Boss Defeated: False | Player Died: False
2025-01-04 16:10:28,746 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 16:10:28,746 - Player: 2 | Cards Played: [8H] | Boss Defeated: True | Player Died: False
2025-01-04 16:10:28,746 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: True
