2025-01-04 16:12:17,875 - I log actions! :D
2025-01-04 16:16:46,595 - Player: 1 | Cards Played: [AC] | Boss Defeated: False | Player Died: False
2025-01-04 16:16:46,595 - Player: 2 | Cards Played: [3D] | Boss Defeated: False | Player Died: False
2025-01-04 16:16:46,595 - Player: 1 | Cards Played: [TS] | Boss Defeated: False | Player Died: False
2025-01-04 16:16:46,595 - Player: 2 | Cards Played: [5D] | Boss Defeated: True | Player Died: False
2025-01-04 16:16:46,595 - Player: 2 | Cards Played: [AH, 9S] | Boss Defeated: False | Player Died: False
2025-01-04 16:16:46,595 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 16:16:46,595 - Player: 2 | Cards Played: [6S] | Boss Defeated: False | Player Died: False
2025-01-04 16:16:46,595 - Player: 1 | Cards Played: [4H] | Boss Defeated: True | Player Died: False
2025-01-04 16:16:46,595 - Player: 1 | Cards Played: [TC] | Boss Defeated: False | Player Died: False
2025-01-04 16:16:46,595 - Player: 2 | Cards Played: [2D] | Boss Defeated: False | Player Died: False
2025-01-04 16:16:46,595 - Player: 1 | Cards Played: [3H, 3S] | Boss Defeated: False | Player Died: False
2025-01-04 16:16:46,595 - Player: 2 | Cards Played: [TD] | Boss Defeated: True | Player Died: False
2025-01-04 16:16:46,595 - Player: 2 | Cards Played: [3C] | Boss Defeated: False | Player Died: False
2025-01-04 16:16:46,595 - Player: 1 | Cards Played: [4D] | Boss Defeated: False | Player Died: False
2025-01-04 16:16:46,595 - Player: 2 | Cards Played: [2C, 2H] | Boss Defeated: False | Player Died: False
2025-01-04 16:16:46,595 - Player: 1 | Cards Played: [8D] | Boss Defeated: True | Player Died: False
2025-01-04 16:16:46,595 - Player: 1 | Cards Played: [7S] | Boss Defeated: False | Player Died: False
2025-01-04 16:16:46,595 - Player: 2 | Cards Played: [AS, 6C] | Boss Defeated: False | Player Died: False
2025-01-04 16:16:46,595 - Player: 1 | Cards Played: [2S] | Boss Defeated: False | Player Died: False
2025-01-04 16:16:46,595 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 16:16:46,595 - Player: 1 | Cards Played: [7D] | Boss Defeated: False | Player Died: False
2025-01-04 16:16:46,595 - Player: 2 | Cards Played: [4C] | Boss Defeated: False | Player Died: False
2025-01-04 16:16:46,595 - Player: 1 | Cards Played: [AH, 5D] | Boss Defeated: True | Player Died: False
2025-01-04 16:16:46,595 - Player: 1 | Cards Played: [9S] | Boss Defeated: False | Player Died: False
2025-01-04 16:16:46,595 - Player: 2 | Cards Played: [AC] | Boss Defeated: False | Player Died: False
2025-01-04 16:16:46,595 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 16:16:46,595 - Player: 2 | Cards Played: [6S] | Boss Defeated: False | Player Died: False
2025-01-04 16:16:46,595 - Player: 1 | Cards Played: [AD, 5C] | Boss Defeated: False | Player Died: False
2025-01-04 16:16:46,595 - Player: 2 | Cards Played: [3D] | Boss Defeated: True | Player Died: False
2025-01-04 16:16:46,595 - Player: 2 | Cards Played: [8S] | Boss Defeated: False | Player Died: False
2025-01-04 16:16:46,595 - Player: 1 | Cards Played: [5H, 5S] | Boss Defeated: False | Player Died: False
2025-01-04 16:16:46,595 - Player: 2 | Cards Played: [8C] | Boss Defeated: True | Player Died: False
2025-01-04 16:16:46,595 - Player: 2 | Cards Played: [4D, 4H] | Boss Defeated: False | Player Died: False
2025-01-04 16:16:46,595 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 16:16:46,595 - Player: 2 | Cards Played: [AD, 7H] | Boss Defeated: False | Player Died: False
2025-01-04 16:16:46,595 - Player: 1 | Cards Played: [8D] | Boss Defeated: False | Player Died: False
2025-01-04 16:16:46,595 - Player: 2 | Cards Played: [6D] | Boss Defeated: True | Player Died: False
2025-01-04 16:16:46,595 - Player: 2 | Cards Played: [9D] | Boss Defeated: False | Player Died: False
2025-01-04 16:16:46,595 - Player: 1 | Cards Played: [AC, 7C] | Boss Defeated: False | Player Died: False
2025-01-04 16:16:46,595 - Player: 2 | Cards Played: [5D, 5H] | Boss Defeated: False | Player Died: False
2025-01-04 16:16:46,595 - Player: 1 | Cards Played: [3D, 3H] | Boss Defeated: True | Player Died: False
2025-01-04 16:16:46,595 - Player: 1 | Cards Played: [AS, JC] | Boss Defeated: False | Player Died: False
2025-01-04 16:16:46,596 - Player: 2 | Cards Played: [8H] | Boss Defeated: False | Player Died: False
2025-01-04 16:16:46,596 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 16:16:46,596 - Player: 2 | Cards Played: [6C] | Boss Defeated: True | Player Died: False
2025-01-04 16:16:46,596 - Player: 2 | Cards Played: [JD] | Boss Defeated: False | Player Died: False
2025-01-04 16:16:46,596 - Player: 1 | Cards Played: [AH, 9H] | Boss Defeated: False | Player Died: False
2025-01-04 16:16:46,596 - Player: 2 | Cards Played: [4D, 4S] | Boss Defeated: False | Player Died: False
2025-01-04 16:16:46,596 - Player: 1 | Cards Played: [AD] | Boss Defeated: False | Player Died: False
2025-01-04 16:16:46,596 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 16:16:46,596 - Player: 1 | Cards Played: [2D] | Boss Defeated: False | Player Died: False
2025-01-04 16:16:46,596 - Player: 2 | Cards Played: [AS, 6S] | Boss Defeated: False | Player Died: False
2025-01-04 16:16:46,596 - Player: 1 | Cards Played: [2C] | Boss Defeated: True | Player Died: False
2025-01-04 16:16:46,596 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: True
