2025-01-04 19:39:33,226 - I log actions! :D
2025-01-04 19:39:35,253 - Player: 1 | Cards Played: [3C, 3S] | Boss Defeated: False | Player Died: False
2025-01-04 19:39:35,253 - Player: 2 | Cards Played: [AD, 7H] | Boss Defeated: True | Player Died: False
2025-01-04 19:39:35,253 - Player: 2 | Cards Played: [AS, 2C] | Boss Defeated: False | Player Died: False
2025-01-04 19:39:35,253 - Player: 1 | Cards Played: [5D] | Boss Defeated: False | Player Died: False
2025-01-04 19:39:35,253 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 19:39:35,253 - Player: 1 | Cards Played: [2D, 2S] | Boss Defeated: False | Player Died: False
2025-01-04 19:39:35,253 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 19:39:35,253 - Player: 1 | Cards Played: [6H] | Boss Defeated: False | Player Died: False
2025-01-04 19:39:35,253 - Player: 2 | Cards Played: [4D, 4H] | Boss Defeated: True | Player Died: False
2025-01-04 19:39:35,253 - Player: 2 | Cards Played: [7S] | Boss Defeated: False | Player Died: False
2025-01-04 19:39:35,253 - Player: 1 | Cards Played: [AH] | Boss Defeated: False | Player Died: False
2025-01-04 19:39:35,253 - Player: 2 | Cards Played: [2H] | Boss Defeated: False | Player Died: False
2025-01-04 19:39:35,253 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 19:39:35,253 - Player: 2 | Cards Played: [4S] | Boss Defeated: False | Player Died: False
2025-01-04 19:39:35,253 - Player: 1 | Cards Played: [AC] | Boss Defeated: False | Player Died: False
2025-01-04 19:39:35,253 - Player: 2 | Cards Played: [3H] | Boss Defeated: False | Player Died: False
2025-01-04 19:39:35,253 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 19:39:35,253 - Player: 2 | Cards Played: [5S] | Boss Defeated: True | Player Died: False
2025-01-04 19:39:35,253 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: True
