2025-01-04 19:45:17,713 - I log actions! :D
2025-01-04 19:45:19,962 - Player: 1 | Cards Played: [AD, TS] | Boss Defeated: False | Player Died: False
2025-01-04 19:45:19,962 - Player: 2 | Cards Played: [AC, 4S] | Boss Defeated: True | Player Died: False
2025-01-04 19:45:19,962 - Player: 2 | Cards Played: [AS, 5D] | Boss Defeated: False | Player Died: False
2025-01-04 19:45:19,962 - Player: 1 | Cards Played: [3C] | Boss Defeated: False | Player Died: False
2025-01-04 19:45:19,962 - Player: 2 | Cards Played: [2C, 2D, 2H] | Boss Defeated: False | Player Died: False
2025-01-04 19:45:19,962 - Player: 1 | Cards Played: [9D] | Boss Defeated: True | Player Died: False
2025-01-04 19:45:19,962 - Player: 1 | Cards Played: [4D] | Boss Defeated: False | Player Died: False
2025-01-04 19:45:19,962 - Player: 2 | Cards Played: [AH, 4C] | Boss Defeated: False | Player Died: False
2025-01-04 19:45:19,962 - Player: 1 | Cards Played: [8D] | Boss Defeated: True | Player Died: False
2025-01-04 19:45:19,962 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 19:45:19,962 - Player: 2 | Cards Played: [6D] | Boss Defeated: False | Player Died: False
2025-01-04 19:45:19,962 - Player: 1 | Cards Played: [9H] | Boss Defeated: False | Player Died: False
2025-01-04 19:45:19,962 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 19:45:19,962 - Player: 1 | Cards Played: [2S] | Boss Defeated: False | Player Died: False
2025-01-04 19:45:19,962 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: True
