2025-01-04 20:09:28,409 - I log actions! :D
2025-01-04 20:10:40,544 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 20:10:40,545 - Player: 2 | Cards Played: [TD] | Boss Defeated: False | Player Died: False
2025-01-04 20:10:40,545 - Player: 1 | Cards Played: [2D] | Boss Defeated: False | Player Died: False
2025-01-04 20:10:40,545 - Player: 2 | Cards Played: [8H] | Boss Defeated: True | Player Died: False
2025-01-04 20:10:40,545 - Player: 2 | Cards Played: [9D] | Boss Defeated: False | Player Died: False
2025-01-04 20:10:40,545 - Player: 1 | Cards Played: [AD, 7C] | Boss Defeated: False | Player Died: False
2025-01-04 20:10:40,545 - Player: 2 | Cards Played: [4D] | Boss Defeated: True | Player Died: False
2025-01-04 20:10:40,545 - Player: 2 | Cards Played: [8C] | Boss Defeated: False | Player Died: False
2025-01-04 20:10:40,545 - Player: 1 | Cards Played: [6C] | Boss Defeated: True | Player Died: False
2025-01-04 20:10:40,545 - Player: 1 | Cards Played: [7H] | Boss Defeated: False | Player Died: False
2025-01-04 20:10:40,545 - Player: 2 | Cards Played: [3H, 3S] | Boss Defeated: False | Player Died: False
2025-01-04 20:10:40,545 - Player: 1 | Cards Played: [4S] | Boss Defeated: False | Player Died: True
