2025-01-04 20:33:29,374 - I log actions! :D
2025-01-04 20:34:08,140 - Player: 1 | Cards Played: [TS] | Boss Defeated: False | Player Died: False
2025-01-04 20:34:08,140 - Player: 2 | Cards Played: [AC, 8D] | Boss Defeated: True | Player Died: False
2025-01-04 20:34:08,141 - Player: 2 | Cards Played: [2D] | Boss Defeated: False | Player Died: False
2025-01-04 20:34:08,141 - Player: 1 | Cards Played: [3D, 3S] | Boss Defeated: False | Player Died: False
2025-01-04 20:34:08,141 - Player: 2 | Cards Played: [AS, 5D] | Boss Defeated: False | Player Died: False
2025-01-04 20:34:08,141 - Player: 1 | Cards Played: [6D] | Boss Defeated: True | Player Died: False
2025-01-04 20:34:08,141 - Player: 1 | Cards Played: [9S] | Boss Defeated: False | Player Died: False
2025-01-04 20:34:08,141 - Player: 2 | Cards Played: [2S] | Boss Defeated: False | Player Died: False
2025-01-04 20:34:08,141 - Player: 1 | Cards Played: [6H] | Boss Defeated: False | Player Died: False
2025-01-04 20:34:08,141 - Player: 2 | Cards Played: [3H] | Boss Defeated: True | Player Died: False
2025-01-04 20:34:08,141 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 20:34:08,141 - Player: 1 | Cards Played: [7D] | Boss Defeated: False | Player Died: False
2025-01-04 20:34:08,141 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 20:34:08,141 - Player: 1 | Cards Played: [4D] | Boss Defeated: False | Player Died: False
2025-01-04 20:34:08,141 - Player: 2 | Cards Played: [TD] | Boss Defeated: True | Player Died: False
2025-01-04 20:34:08,141 - Player: 2 | Cards Played: [8S] | Boss Defeated: False | Player Died: False
2025-01-04 20:34:08,141 - Player: 1 | Cards Played: [AH, TC] | Boss Defeated: True | Player Died: False
2025-01-04 20:34:08,141 - Player: 1 | Cards Played: [9D] | Boss Defeated: False | Player Died: False
2025-01-04 20:34:08,141 - Player: 2 | Cards Played: [4C, 4H] | Boss Defeated: False | Player Died: False
2025-01-04 20:34:08,141 - Player: 1 | Cards Played: [JD] | Boss Defeated: False | Player Died: False
2025-01-04 20:34:08,141 - Player: 2 | Cards Played: [4D] | Boss Defeated: True | Player Died: False
2025-01-04 20:34:08,141 - Player: 2 | Cards Played: [6H] | Boss Defeated: False | Player Died: False
2025-01-04 20:34:08,141 - Player: 1 | Cards Played: [AD, QD] | Boss Defeated: False | Player Died: False
2025-01-04 20:34:08,141 - Player: 2 | Cards Played: [JH] | Boss Defeated: True | Player Died: False
2025-01-04 20:34:08,141 - Player: 2 | Cards Played: [TS] | Boss Defeated: False | Player Died: False
2025-01-04 20:34:08,141 - Player: 1 | Cards Played: [5D] | Boss Defeated: False | Player Died: False
2025-01-04 20:34:08,141 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 20:34:08,141 - Player: 1 | Cards Played: [3S] | Boss Defeated: False | Player Died: False
2025-01-04 20:34:08,141 - Player: 2 | Cards Played: [3D] | Boss Defeated: False | Player Died: False
2025-01-04 20:34:08,141 - Player: 1 | Cards Played: [2D] | Boss Defeated: False | Player Died: False
2025-01-04 20:34:08,141 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 20:34:08,141 - Player: 1 | Cards Played: [2C] | Boss Defeated: False | Player Died: False
2025-01-04 20:34:08,141 - Player: 2 | Cards Played: [JD] | Boss Defeated: True | Player Died: False
2025-01-04 20:34:08,141 - Player: 2 | Cards Played: [AC, TD] | Boss Defeated: False | Player Died: False
2025-01-04 20:34:08,141 - Player: 1 | Cards Played: [AS, 2S] | Boss Defeated: False | Player Died: False
2025-01-04 20:34:08,141 - Player: 2 | Cards Played: [9C] | Boss Defeated: True | Player Died: False
2025-01-04 20:34:08,141 - Player: 2 | Cards Played: [JS] | Boss Defeated: False | Player Died: True
