2025-01-04 21:09:01,729 - I log actions! :D
2025-01-04 21:09:02,143 - Player: 1 | Cards Played: [AH, 2C] | Boss Defeated: False | Player Died: False
2025-01-04 21:09:02,143 - Player: 2 | Cards Played: [AS, 7D] | Boss Defeated: False | Player Died: False
2025-01-04 21:09:02,143 - Player: 1 | Cards Played: [6D] | Boss Defeated: True | Player Died: False
2025-01-04 21:09:02,143 - Player: 1 | Cards Played: [5S] | Boss Defeated: False | Player Died: False
2025-01-04 21:09:02,143 - Player: 2 | Cards Played: [AC] | Boss Defeated: False | Player Died: False
2025-01-04 21:09:02,143 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 21:09:02,143 - Player: 2 | Cards Played: [4D] | Boss Defeated: False | Player Died: False
2025-01-04 21:09:02,143 - Player: 1 | Cards Played: [3H, 3S] | Boss Defeated: False | Player Died: False
2025-01-04 21:09:02,143 - Player: 2 | Cards Played: [TD] | Boss Defeated: True | Player Died: False
2025-01-04 21:09:02,143 - Player: 2 | Cards Played: [JS] | Boss Defeated: False | Player Died: False
2025-01-04 21:09:02,143 - Player: 1 | Cards Played: [4H] | Boss Defeated: False | Player Died: False
2025-01-04 21:09:02,143 - Player: 2 | Cards Played: [AD, TC] | Boss Defeated: True | Player Died: False
2025-01-04 21:09:02,143 - Player: 2 | Cards Played: [5C] | Boss Defeated: False | Player Died: False
2025-01-04 21:09:02,143 - Player: 1 | Cards Played: [6C] | Boss Defeated: True | Player Died: False
2025-01-04 21:09:02,143 - Player: 1 | Cards Played: [6S] | Boss Defeated: False | Player Died: False
2025-01-04 21:09:02,143 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 21:09:02,143 - Player: 1 | Cards Played: [9D] | Boss Defeated: False | Player Died: False
2025-01-04 21:09:02,143 - Player: 2 | Cards Played: [9H] | Boss Defeated: False | Player Died: False
2025-01-04 21:09:02,143 - Player: 1 | Cards Played: [5D] | Boss Defeated: False | Player Died: False
2025-01-04 21:09:02,143 - Player: 2 | Cards Played: [3D, 3H] | Boss Defeated: True | Player Died: False
2025-01-04 21:09:02,143 - Player: 2 | Cards Played: [3S] | Boss Defeated: False | Player Died: False
2025-01-04 21:09:02,143 - Player: 1 | Cards Played: [AS, 7S] | Boss Defeated: False | Player Died: False
2025-01-04 21:09:02,143 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 21:09:02,143 - Player: 1 | Cards Played: [8D] | Boss Defeated: False | Player Died: False
2025-01-04 21:09:02,143 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
