2025-01-04 21:17:44,824 - I log actions! :D
2025-01-04 21:17:49,397 - Player: 1 | Cards Played: [3H, 3S] | Boss Defeated: False | Player Died: False
2025-01-04 21:17:49,397 - Player: 2 | Cards Played: [5D, 5H] | Boss Defeated: False | Player Died: False
2025-01-04 21:17:49,397 - Player: 1 | Cards Played: [TD] | Boss Defeated: True | Player Died: False
2025-01-04 21:17:49,397 - Player: 1 | Cards Played: [8S] | Boss Defeated: False | Player Died: False
2025-01-04 21:17:49,397 - Player: 2 | Cards Played: [AS, 9D] | Boss Defeated: False | Player Died: False
2025-01-04 21:17:49,397 - Player: 1 | Cards Played: [AH, 3D] | Boss Defeated: True | Player Died: False
2025-01-04 21:17:49,397 - Player: 1 | Cards Played: [6S] | Boss Defeated: False | Player Died: False
2025-01-04 21:17:49,397 - Player: 2 | Cards Played: [TH] | Boss Defeated: False | Player Died: False
2025-01-04 21:17:49,397 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 21:17:49,397 - Player: 2 | Cards Played: [7S] | Boss Defeated: True | Player Died: False
2025-01-04 21:17:49,397 - Player: 2 | Cards Played: [2D] | Boss Defeated: False | Player Died: False
2025-01-04 21:17:49,397 - Player: 1 | Cards Played: [8D] | Boss Defeated: False | Player Died: False
2025-01-04 21:17:49,397 - Player: 2 | Cards Played: [4D] | Boss Defeated: False | Player Died: False
2025-01-04 21:17:49,397 - Player: 1 | Cards Played: [7D] | Boss Defeated: True | Player Died: False
2025-01-04 21:17:49,397 - Player: 1 | Cards Played: [5S] | Boss Defeated: False | Player Died: False
2025-01-04 21:17:49,397 - Player: 2 | Cards Played: [3D] | Boss Defeated: False | Player Died: False
2025-01-04 21:17:49,397 - Player: 1 | Cards Played: [AC, 9S] | Boss Defeated: False | Player Died: False
2025-01-04 21:17:49,397 - Player: 2 | Cards Played: [5H] | Boss Defeated: True | Player Died: False
2025-01-04 21:17:49,397 - Player: 2 | Cards Played: [6D] | Boss Defeated: False | Player Died: False
2025-01-04 21:17:49,398 - Player: 1 | Cards Played: [AH, TD] | Boss Defeated: False | Player Died: False
2025-01-04 21:17:49,398 - Player: 2 | Cards Played: [AD, 8H] | Boss Defeated: False | Player Died: False
2025-01-04 21:17:49,398 - Player: 1 | Cards Played: [2S] | Boss Defeated: False | Player Died: False
2025-01-04 21:17:49,398 - Player: 2 | Cards Played: [9D] | Boss Defeated: True | Player Died: False
2025-01-04 21:17:49,398 - Player: 2 | Cards Played: [3S] | Boss Defeated: False | Player Died: False
2025-01-04 21:17:49,398 - Player: 1 | Cards Played: [JS] | Boss Defeated: False | Player Died: False
2025-01-04 21:17:49,398 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 21:17:49,398 - Player: 1 | Cards Played: [4C] | Boss Defeated: False | Player Died: False
2025-01-04 21:17:49,398 - Player: 2 | Cards Played: [2D] | Boss Defeated: False | Player Died: False
2025-01-04 21:17:49,398 - Player: 1 | Cards Played: [5D, 5H] | Boss Defeated: True | Player Died: False
2025-01-04 21:17:49,398 - Player: 1 | Cards Played: [QS] | Boss Defeated: False | Player Died: False
2025-01-04 21:17:49,398 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 21:17:49,398 - Player: 1 | Cards Played: [6S] | Boss Defeated: False | Player Died: False
2025-01-04 21:17:49,398 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 21:17:49,398 - Player: 1 | Cards Played: [6H] | Boss Defeated: False | Player Died: False
2025-01-04 21:17:49,398 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 21:17:49,398 - Player: 1 | Cards Played: [3C] | Boss Defeated: True | Player Died: False
2025-01-04 21:17:49,398 - Player: 1 | Cards Played: [8D] | Boss Defeated: False | Player Died: False
