2025-01-04 21:58:51,947 - I log actions! :D
2025-01-04 21:59:14,892 - Player: 1 | Cards Played: [AD, 9S] | Boss Defeated: False | Player Died: False
2025-01-04 21:59:14,893 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 21:59:14,893 - Player: 1 | Cards Played: [5C] | Boss Defeated: False | Player Died: False
2025-01-04 21:59:14,893 - Player: 2 | Cards Played: [2C] | Boss Defeated: False | Player Died: False
2025-01-04 21:59:14,893 - Player: 1 | Cards Played: [2S] | Boss Defeated: False | Player Died: False
2025-01-04 21:59:14,893 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 21:59:14,893 - Player: 1 | Cards Played: [7D] | Boss Defeated: True | Player Died: False
2025-01-04 21:59:14,893 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 21:59:14,893 - Player: 2 | Cards Played: [6D] | Boss Defeated: False | Player Died: False
2025-01-04 21:59:14,893 - Player: 1 | Cards Played: [TD] | Boss Defeated: False | Player Died: False
2025-01-04 21:59:14,893 - Player: 2 | Cards Played: [AC] | Boss Defeated: False | Player Died: False
2025-01-04 21:59:14,893 - Player: 1 | Cards Played: [9D] | Boss Defeated: True | Player Died: False
2025-01-04 21:59:14,893 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 21:59:14,893 - Player: 2 | Cards Played: [4D] | Boss Defeated: False | Player Died: False
2025-01-04 21:59:14,893 - Player: 1 | Cards Played: [3D] | Boss Defeated: False | Player Died: False
2025-01-04 21:59:14,893 - Player: 2 | Cards Played: [TH] | Boss Defeated: False | Player Died: False
2025-01-04 21:59:14,893 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 21:59:14,893 - Player: 2 | Cards Played: [8D] | Boss Defeated: True | Player Died: False
2025-01-04 21:59:14,893 - Player: 2 | Cards Played: [AD, 6S] | Boss Defeated: False | Player Died: False
2025-01-04 21:59:14,893 - Player: 1 | Cards Played: [AC] | Boss Defeated: False | Player Died: False
2025-01-04 21:59:14,893 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 21:59:14,893 - Player: 1 | Cards Played: [4H] | Boss Defeated: False | Player Died: False
2025-01-04 21:59:14,893 - Player: 2 | Cards Played: [2D] | Boss Defeated: False | Player Died: False
2025-01-04 21:59:14,893 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 21:59:14,893 - Player: 2 | Cards Played: [9D] | Boss Defeated: True | Player Died: False
2025-01-04 21:59:14,893 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: True
