2025-01-04 22:02:14,375 - I log actions! :D
2025-01-04 22:02:41,392 - Player: 1 | Cards Played: [AS, 5D] | Boss Defeated: False | Player Died: False
2025-01-04 22:02:41,393 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 22:02:41,393 - Player: 1 | Cards Played: [AH, 8S] | Boss Defeated: False | Player Died: False
2025-01-04 22:02:41,393 - Player: 2 | Cards Played: [8D] | Boss Defeated: True | Player Died: False
2025-01-04 22:02:41,393 - Player: 2 | Cards Played: [2D] | Boss Defeated: False | Player Died: False
2025-01-04 22:02:41,393 - Player: 1 | Cards Played: [7D] | Boss Defeated: False | Player Died: False
2025-01-04 22:02:41,393 - Player: 2 | Cards Played: [3D] | Boss Defeated: False | Player Died: False
2025-01-04 22:02:41,393 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 22:02:41,393 - Player: 2 | Cards Played: [2H] | Boss Defeated: False | Player Died: False
2025-01-04 22:02:41,393 - Player: 1 | Cards Played: [AD, 5H] | Boss Defeated: True | Player Died: False
2025-01-04 22:02:41,393 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 22:02:41,393 - Player: 2 | Cards Played: [AC] | Boss Defeated: False | Player Died: False
2025-01-04 22:02:41,393 - Player: 1 | Cards Played: [9D] | Boss Defeated: False | Player Died: False
2025-01-04 22:02:41,393 - Player: 2 | Cards Played: [4D, 4S] | Boss Defeated: False | Player Died: False
2025-01-04 22:02:41,393 - Player: 1 | Cards Played: [5D] | Boss Defeated: True | Player Died: False
2025-01-04 22:02:41,393 - Player: 1 | Cards Played: [JS] | Boss Defeated: False | Player Died: False
2025-01-04 22:02:41,393 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 22:02:41,393 - Player: 1 | Cards Played: [4C] | Boss Defeated: False | Player Died: False
2025-01-04 22:02:41,393 - Player: 2 | Cards Played: [6D] | Boss Defeated: True | Player Died: False
2025-01-04 22:02:41,393 - Player: 2 | Cards Played: [AH, 9S] | Boss Defeated: False | Player Died: False
2025-01-04 22:02:41,393 - Player: 1 | Cards Played: [2S] | Boss Defeated: False | Player Died: False
2025-01-04 22:02:41,393 - Player: 2 | Cards Played: [6S] | Boss Defeated: False | Player Died: False
2025-01-04 22:02:41,393 - Player: 1 | Cards Played: [7H] | Boss Defeated: False | Player Died: False
2025-01-04 22:02:41,393 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 22:02:41,393 - Player: 1 | Cards Played: [TD] | Boss Defeated: True | Player Died: False
2025-01-04 22:02:41,393 - Player: 1 | Cards Played: [8D] | Boss Defeated: False | Player Died: False
2025-01-04 22:02:41,393 - Player: 2 | Cards Played: [3C, 3S] | Boss Defeated: False | Player Died: False
2025-01-04 22:02:41,393 - Player: 1 | Cards Played: [3H] | Boss Defeated: False | Player Died: True
