2025-01-04 22:03:02,872 - I log actions! :D
2025-01-04 22:03:18,590 - Player: 1 | Cards Played: [4D] | Boss Defeated: False | Player Died: False
2025-01-04 22:03:18,591 - Player: 2 | Cards Played: [6D] | Boss Defeated: False | Player Died: False
2025-01-04 22:03:18,591 - Player: 1 | Cards Played: [AS, 5S] | Boss Defeated: False | Player Died: False
2025-01-04 22:03:18,591 - Player: 2 | Cards Played: [6C] | Boss Defeated: True | Player Died: False
2025-01-04 22:03:18,591 - Player: 2 | Cards Played: [8D] | Boss Defeated: False | Player Died: False
2025-01-04 22:03:18,591 - Player: 1 | Cards Played: [TD] | Boss Defeated: False | Player Died: False
2025-01-04 22:03:18,591 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 22:03:18,591 - Player: 1 | Cards Played: [7D] | Boss Defeated: True | Player Died: False
2025-01-04 22:03:18,591 - Player: 1 | Cards Played: [AD, 4H] | Boss Defeated: False | Player Died: False
2025-01-04 22:03:18,591 - Player: 2 | Cards Played: [3D, 3H] | Boss Defeated: False | Player Died: False
2025-01-04 22:03:18,591 - Player: 1 | Cards Played: [2D] | Boss Defeated: False | Player Died: False
2025-01-04 22:03:18,591 - Player: 2 | Cards Played: [5D] | Boss Defeated: False | Player Died: False
2025-01-04 22:03:18,591 - Player: 1 | Cards Played: [7D] | Boss Defeated: True | Player Died: False
2025-01-04 22:03:18,591 - Player: 1 | Cards Played: [7S] | Boss Defeated: False | Player Died: False
2025-01-04 22:03:18,591 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 22:03:18,591 - Player: 1 | Cards Played: [5S] | Boss Defeated: False | Player Died: False
2025-01-04 22:03:18,591 - Player: 2 | Cards Played: [2H] | Boss Defeated: False | Player Died: False
2025-01-04 22:03:18,591 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 22:03:18,591 - Player: 2 | Cards Played: [AS] | Boss Defeated: False | Player Died: False
2025-01-04 22:03:18,591 - Player: 1 | Cards Played: [2C] | Boss Defeated: False | Player Died: False
2025-01-04 22:03:18,591 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 22:03:18,591 - Player: 1 | Cards Played: [TD] | Boss Defeated: True | Player Died: False
2025-01-04 22:03:18,591 - Player: 1 | Cards Played: [8D] | Boss Defeated: False | Player Died: True
