2025-01-04 22:06:09,400 - I log actions! :D
2025-01-04 22:08:41,404 - Player: 1 | Cards Played: [2D, 2H] | Boss Defeated: False | Player Died: False
2025-01-04 22:08:41,405 - Player: 2 | Cards Played: [4D] | Boss Defeated: False | Player Died: False
2025-01-04 22:08:41,405 - Player: 1 | Cards Played: [AD, TH] | Boss Defeated: False | Player Died: False
2025-01-04 22:08:41,405 - Player: 2 | Cards Played: [3C] | Boss Defeated: True | Player Died: False
2025-01-04 22:08:41,405 - Player: 2 | Cards Played: [AH, 3D] | Boss Defeated: False | Player Died: False
2025-01-04 22:08:41,405 - Player: 1 | Cards Played: [AS, 5D] | Boss Defeated: False | Player Died: False
2025-01-04 22:08:41,405 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 22:08:41,405 - Player: 1 | Cards Played: [4S] | Boss Defeated: False | Player Died: False
2025-01-04 22:08:41,405 - Player: 2 | Cards Played: [8D] | Boss Defeated: True | Player Died: False
2025-01-04 22:08:41,405 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 22:08:41,405 - Player: 1 | Cards Played: [5C, 5H] | Boss Defeated: True | Player Died: False
2025-01-04 22:08:41,405 - Player: 1 | Cards Played: [2C] | Boss Defeated: False | Player Died: False
2025-01-04 22:08:41,405 - Player: 2 | Cards Played: [7D] | Boss Defeated: False | Player Died: False
2025-01-04 22:08:41,405 - Player: 1 | Cards Played: [2S] | Boss Defeated: False | Player Died: False
2025-01-04 22:08:41,405 - Player: 2 | Cards Played: [6D] | Boss Defeated: False | Player Died: False
2025-01-04 22:08:41,405 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 22:08:41,405 - Player: 2 | Cards Played: [2H] | Boss Defeated: False | Player Died: False
2025-01-04 22:08:41,405 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 22:08:41,405 - Player: 2 | Cards Played: [JD] | Boss Defeated: True | Player Died: False
2025-01-04 22:08:41,405 - Player: 2 | Cards Played: [JS] | Boss Defeated: False | Player Died: False
2025-01-04 22:08:41,405 - Player: 1 | Cards Played: [6S] | Boss Defeated: False | Player Died: False
2025-01-04 22:08:41,405 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 22:08:41,405 - Player: 1 | Cards Played: [AD] | Boss Defeated: False | Player Died: False
2025-01-04 22:08:41,405 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 22:08:41,405 - Player: 1 | Cards Played: [3C] | Boss Defeated: False | Player Died: False
2025-01-04 22:08:41,405 - Player: 2 | Cards Played: [4D] | Boss Defeated: False | Player Died: False
2025-01-04 22:08:41,405 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 22:08:41,405 - Player: 2 | Cards Played: [TD] | Boss Defeated: True | Player Died: False
2025-01-04 22:08:41,405 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: True
