2025-01-04 22:12:48,231 - I log actions! :D
2025-01-04 22:17:46,820 - Player: 1 | Cards Played: [AS, 3S] | Boss Defeated: False | Player Died: False
2025-01-04 22:17:46,821 - Player: 2 | Cards Played: [AD, 8H] | Boss Defeated: False | Player Died: False
2025-01-04 22:17:46,821 - Player: 1 | Cards Played: [2H] | Boss Defeated: False | Player Died: False
2025-01-04 22:17:46,821 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 22:17:46,821 - Player: 1 | Cards Played: [6D] | Boss Defeated: True | Player Died: False
2025-01-04 22:17:46,821 - Player: 1 | Cards Played: [4C, 4S] | Boss Defeated: False | Player Died: False
2025-01-04 22:17:46,821 - Player: 2 | Cards Played: [3D] | Boss Defeated: False | Player Died: False
2025-01-04 22:17:46,821 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 22:17:46,821 - Player: 2 | Cards Played: [8D] | Boss Defeated: False | Player Died: False
2025-01-04 22:17:46,821 - Player: 1 | Cards Played: [AC, 2D] | Boss Defeated: True | Player Died: False
2025-01-04 22:17:46,821 - Player: 1 | Cards Played: [3H] | Boss Defeated: False | Player Died: False
2025-01-04 22:17:46,821 - Player: 2 | Cards Played: [7H] | Boss Defeated: False | Player Died: False
2025-01-04 22:17:46,821 - Player: 1 | Cards Played: [TD] | Boss Defeated: True | Player Died: False
2025-01-04 22:17:46,821 - Player: 1 | Cards Played: [TS] | Boss Defeated: False | Player Died: False
2025-01-04 22:17:46,821 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 22:17:46,821 - Player: 1 | Cards Played: [2C] | Boss Defeated: False | Player Died: False
2025-01-04 22:17:46,821 - Player: 2 | Cards Played: [4D, 4H] | Boss Defeated: True | Player Died: False
2025-01-04 22:17:46,821 - Player: 2 | Cards Played: [6C] | Boss Defeated: False | Player Died: False
2025-01-04 22:17:46,821 - Player: 1 | Cards Played: [AC, JH] | Boss Defeated: True | Player Died: False
2025-01-04 22:17:46,821 - Player: 1 | Cards Played: [7D] | Boss Defeated: False | Player Died: False
2025-01-04 22:17:46,821 - Player: 2 | Cards Played: [7S] | Boss Defeated: False | Player Died: False
2025-01-04 22:17:46,821 - Player: 1 | Cards Played: [5D] | Boss Defeated: False | Player Died: False
2025-01-04 22:17:46,821 - Player: 2 | Cards Played: [9D] | Boss Defeated: False | Player Died: False
2025-01-04 22:17:46,821 - Player: 1 | Cards Played: [2D] | Boss Defeated: True | Player Died: False
2025-01-04 22:17:46,821 - Player: 1 | Cards Played: [AH, JD] | Boss Defeated: False | Player Died: False
2025-01-04 22:17:46,821 - Player: 2 | Cards Played: [2C, 2H] | Boss Defeated: False | Player Died: False
2025-01-04 22:17:46,821 - Player: 1 | Cards Played: [8D] | Boss Defeated: False | Player Died: False
2025-01-04 22:17:46,821 - Player: 2 | Cards Played: [5H, 5S] | Boss Defeated: True | Player Died: False
2025-01-04 22:17:46,821 - Player: 2 | Cards Played: [8S] | Boss Defeated: False | Player Died: False
2025-01-04 22:17:46,821 - Player: 1 | Cards Played: [AS, 6D] | Boss Defeated: False | Player Died: False
2025-01-04 22:17:46,821 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 22:17:46,821 - Player: 1 | Cards Played: [AD] | Boss Defeated: False | Player Died: False
2025-01-04 22:17:46,821 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 22:17:46,821 - Player: 1 | Cards Played: [2D] | Boss Defeated: False | Player Died: False
2025-01-04 22:17:46,821 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 22:17:46,821 - Player: 1 | Cards Played: [4H] | Boss Defeated: False | Player Died: False
2025-01-04 22:17:46,821 - Player: 2 | Cards Played: [AC, 4D] | Boss Defeated: False | Player Died: False
2025-01-04 22:17:46,821 - Player: 1 | Cards Played: [2S] | Boss Defeated: False | Player Died: False
2025-01-04 22:17:46,821 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 22:17:46,821 - Player: 1 | Cards Played: [7H] | Boss Defeated: True | Player Died: False
2025-01-04 22:17:46,821 - Player: 1 | Cards Played: [7S] | Boss Defeated: False | Player Died: False
2025-01-04 22:17:46,821 - Player: 2 | Cards Played: [3D] | Boss Defeated: False | Player Died: False
2025-01-04 22:17:46,821 - Player: 1 | Cards Played: [9D] | Boss Defeated: False | Player Died: False
2025-01-04 22:17:46,821 - Player: 2 | Cards Played: [2H] | Boss Defeated: False | Player Died: False
2025-01-04 22:17:46,821 - Player: 1 | Cards Played: [JD] | Boss Defeated: False | Player Died: False
2025-01-04 22:17:46,821 - Player: 2 | Cards Played: [5D, 5H] | Boss Defeated: True | Player Died: False
2025-01-04 22:17:46,821 - Player: 2 | Cards Played: [TS] | Boss Defeated: False | Player Died: False
2025-01-04 22:17:46,821 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 22:17:46,821 - Player: 2 | Cards Played: [TD] | Boss Defeated: False | Player Died: True
