2025-01-04 22:45:04,844 - I log actions! :D
2025-01-04 22:45:37,514 - Player: 1 | Cards Played: [6C] | Boss Defeated: False | Player Died: False
2025-01-04 22:45:37,515 - Player: 2 | Cards Played: [8D] | Boss Defeated: True | Player Died: False
2025-01-04 22:45:37,515 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 22:45:37,515 - Player: 1 | Cards Played: [AS] | Boss Defeated: False | Player Died: False
2025-01-04 22:45:37,515 - Player: 2 | Cards Played: [6D] | Boss Defeated: False | Player Died: False
2025-01-04 22:45:37,515 - Player: 1 | Cards Played: [3S] | Boss Defeated: False | Player Died: False
2025-01-04 22:45:37,515 - Player: 2 | Cards Played: [AD, 9C] | Boss Defeated: True | Player Died: False
2025-01-04 22:45:37,515 - Player: 2 | Cards Played: [JS] | Boss Defeated: False | Player Died: False
2025-01-04 22:45:37,515 - Player: 1 | Cards Played: [7H] | Boss Defeated: False | Player Died: False
2025-01-04 22:45:37,515 - Player: 2 | Cards Played: [AC] | Boss Defeated: True | Player Died: False
2025-01-04 22:45:37,515 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 22:45:37,515 - Player: 1 | Cards Played: [2C, 2S] | Boss Defeated: False | Player Died: False
2025-01-04 22:45:37,515 - Player: 2 | Cards Played: [9D] | Boss Defeated: False | Player Died: False
2025-01-04 22:45:37,515 - Player: 1 | Cards Played: [2H] | Boss Defeated: False | Player Died: False
2025-01-04 22:45:37,515 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 22:45:37,515 - Player: 1 | Cards Played: [4D] | Boss Defeated: False | Player Died: False
2025-01-04 22:45:37,515 - Player: 2 | Cards Played: [3C, 3D] | Boss Defeated: True | Player Died: False
2025-01-04 22:45:37,515 - Player: 2 | Cards Played: [AS, JD] | Boss Defeated: False | Player Died: False
2025-01-04 22:45:37,515 - Player: 1 | Cards Played: [3S] | Boss Defeated: False | Player Died: False
2025-01-04 22:45:37,515 - Player: 2 | Cards Played: [TH] | Boss Defeated: False | Player Died: False
2025-01-04 22:45:37,515 - Player: 1 | Cards Played: [TD] | Boss Defeated: True | Player Died: False
2025-01-04 22:45:37,515 - Player: 1 | Cards Played: [5D, 5H] | Boss Defeated: False | Player Died: False
2025-01-04 22:45:37,515 - Player: 2 | Cards Played: [AC, 8S] | Boss Defeated: False | Player Died: False
2025-01-04 22:45:37,515 - Player: 1 | Cards Played: [6D] | Boss Defeated: False | Player Died: False
2025-01-04 22:45:37,515 - Player: 2 | Cards Played: [4H] | Boss Defeated: False | Player Died: False
2025-01-04 22:45:37,515 - Player: 1 | Cards Played: [AH, 9D] | Boss Defeated: True | Player Died: False
2025-01-04 22:45:37,515 - Player: 1 | Cards Played: [AD, 7C] | Boss Defeated: False | Player Died: False
2025-01-04 22:45:37,515 - Player: 2 | Cards Played: [4D] | Boss Defeated: False | Player Died: False
2025-01-04 22:45:37,515 - Player: 1 | Cards Played: [TS] | Boss Defeated: True | Player Died: False
2025-01-04 22:45:37,515 - Player: 1 | Cards Played: [8D] | Boss Defeated: False | Player Died: False
2025-01-04 22:45:37,515 - Player: 2 | Cards Played: [TH] | Boss Defeated: False | Player Died: False
2025-01-04 22:45:37,515 - Player: 1 | Cards Played: [QD] | Boss Defeated: True | Player Died: False
2025-01-04 22:45:37,515 - Player: 1 | Cards Played: [9S] | Boss Defeated: False | Player Died: False
2025-01-04 22:45:37,515 - Player: 2 | Cards Played: [AS, TD] | Boss Defeated: False | Player Died: False
2025-01-04 22:45:37,515 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 22:45:37,515 - Player: 2 | Cards Played: [7D] | Boss Defeated: False | Player Died: False
2025-01-04 22:45:37,515 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 22:45:37,515 - Player: 2 | Cards Played: [AD] | Boss Defeated: False | Player Died: False
2025-01-04 22:45:37,515 - Player: 1 | Cards Played: [2D] | Boss Defeated: False | Player Died: False
2025-01-04 22:45:37,515 - Player: 2 | Cards Played: [4C] | Boss Defeated: False | Player Died: False
2025-01-04 22:45:37,515 - Player: 1 | Cards Played: [3S] | Boss Defeated: True | Player Died: False
2025-01-04 22:45:37,515 - Player: 1 | Cards Played: [JC] | Boss Defeated: False | Player Died: False
2025-01-04 22:45:37,515 - Player: 2 | Cards Played: [QS] | Boss Defeated: False | Player Died: False
2025-01-04 22:45:37,516 - Player: 1 | Cards Played: [5S] | Boss Defeated: False | Player Died: False
2025-01-04 22:45:37,516 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 22:45:37,516 - Player: 1 | Cards Played: [JD] | Boss Defeated: True | Player Died: False
2025-01-04 22:45:37,516 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: True
