2025-01-04 22:46:38,114 - I log actions! :D
2025-01-04 22:47:18,463 - Player: 1 | Cards Played: [AD, 7C] | Boss Defeated: False | Player Died: False
2025-01-04 22:47:18,464 - Player: 2 | Cards Played: [4S] | Boss Defeated: True | Player Died: False
2025-01-04 22:47:18,464 - Player: 2 | Cards Played: [8D] | Boss Defeated: False | Player Died: False
2025-01-04 22:47:18,464 - Player: 1 | Cards Played: [AS, 5S] | Boss Defeated: False | Player Died: False
2025-01-04 22:47:18,464 - Player: 2 | Cards Played: [6D] | Boss Defeated: True | Player Died: False
2025-01-04 22:47:18,464 - Player: 2 | Cards Played: [2H] | Boss Defeated: False | Player Died: False
2025-01-04 22:47:18,464 - Player: 1 | Cards Played: [6S] | Boss Defeated: False | Player Died: False
2025-01-04 22:47:18,464 - Player: 2 | Cards Played: [9D] | Boss Defeated: False | Player Died: False
2025-01-04 22:47:18,464 - Player: 1 | Cards Played: [3D, 3H] | Boss Defeated: True | Player Died: False
2025-01-04 22:47:18,464 - Player: 1 | Cards Played: [8S] | Boss Defeated: False | Player Died: False
2025-01-04 22:47:18,464 - Player: 2 | Cards Played: [2S] | Boss Defeated: False | Player Died: False
2025-01-04 22:47:18,464 - Player: 1 | Cards Played: [2C] | Boss Defeated: False | Player Died: False
2025-01-04 22:47:18,464 - Player: 2 | Cards Played: [AC, 2D] | Boss Defeated: False | Player Died: False
2025-01-04 22:47:18,464 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 22:47:18,464 - Player: 2 | Cards Played: [4D] | Boss Defeated: False | Player Died: False
2025-01-04 22:47:18,464 - Player: 1 | Cards Played: [AH, 7D] | Boss Defeated: True | Player Died: False
2025-01-04 22:47:18,464 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 22:47:18,464 - Player: 2 | Cards Played: [AS, TD] | Boss Defeated: False | Player Died: False
2025-01-04 22:47:18,464 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 22:47:18,464 - Player: 2 | Cards Played: [7S] | Boss Defeated: False | Player Died: False
2025-01-04 22:47:18,464 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 22:47:18,464 - Player: 2 | Cards Played: [AD] | Boss Defeated: False | Player Died: False
2025-01-04 22:47:18,464 - Player: 1 | Cards Played: [5D] | Boss Defeated: False | Player Died: False
2025-01-04 22:47:18,464 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 22:47:18,464 - Player: 1 | Cards Played: [5H] | Boss Defeated: False | Player Died: False
2025-01-04 22:47:18,464 - Player: 2 | Cards Played: [3D, 3H] | Boss Defeated: True | Player Died: False
2025-01-04 22:47:18,464 - Player: 2 | Cards Played: [9S] | Boss Defeated: False | Player Died: False
2025-01-04 22:47:18,464 - Player: 1 | Cards Played: [6S] | Boss Defeated: False | Player Died: False
2025-01-04 22:47:18,464 - Player: 2 | Cards Played: [2H] | Boss Defeated: False | Player Died: False
2025-01-04 22:47:18,464 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 22:47:18,464 - Player: 2 | Cards Played: [4H, 4S] | Boss Defeated: False | Player Died: False
2025-01-04 22:47:18,464 - Player: 1 | Cards Played: [TH] | Boss Defeated: True | Player Died: False
2025-01-04 22:47:18,464 - Player: 1 | Cards Played: [8D] | Boss Defeated: False | Player Died: False
2025-01-04 22:47:18,464 - Player: 2 | Cards Played: [AH, 7D] | Boss Defeated: False | Player Died: False
2025-01-04 22:47:18,464 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 22:47:18,464 - Player: 2 | Cards Played: [6D] | Boss Defeated: False | Player Died: False
2025-01-04 22:47:18,464 - Player: 1 | Cards Played: [9H] | Boss Defeated: True | Player Died: False
2025-01-04 22:47:18,464 - Player: 1 | Cards Played: [AS, 9D] | Boss Defeated: False | Player Died: False
2025-01-04 22:47:18,464 - Player: 2 | Cards Played: [4D] | Boss Defeated: False | Player Died: False
2025-01-04 22:47:18,464 - Player: 1 | Cards Played: [AD] | Boss Defeated: False | Player Died: False
2025-01-04 22:47:18,464 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 22:47:18,464 - Player: 1 | Cards Played: [2D] | Boss Defeated: False | Player Died: False
2025-01-04 22:47:18,464 - Player: 2 | Cards Played: [3D] | Boss Defeated: False | Player Died: False
2025-01-04 22:47:18,464 - Player: 1 | Cards Played: [7H] | Boss Defeated: False | Player Died: False
2025-01-04 22:47:18,464 - Player: 2 | Cards Played: [JD] | Boss Defeated: True | Player Died: False
2025-01-04 22:47:18,464 - Player: 2 | Cards Played: [9S] | Boss Defeated: False | Player Died: False
2025-01-04 22:47:18,464 - Player: 1 | Cards Played: [TC] | Boss Defeated: False | Player Died: False
2025-01-04 22:47:18,464 - Player: 2 | Cards Played: [JH] | Boss Defeated: True | Player Died: False
2025-01-04 22:47:18,464 - Player: 2 | Cards Played: [QD] | Boss Defeated: False | Player Died: False
2025-01-04 22:47:18,464 - Player: 1 | Cards Played: [AH, 8S] | Boss Defeated: False | Player Died: False
2025-01-04 22:47:18,464 - Player: 2 | Cards Played: [2C] | Boss Defeated: False | Player Died: False
2025-01-04 22:47:18,464 - Player: 1 | Cards Played: [5D] | Boss Defeated: False | Player Died: False
