2025-01-04 22:51:15,349 - I log actions! :D
2025-01-04 22:51:16,055 - Player: 1 | Cards Played: [AD, 2H] | Boss Defeated: False | Player Died: False
2025-01-04 22:51:16,055 - Player: 2 | Cards Played: [TS] | Boss Defeated: False | Player Died: False
2025-01-04 22:51:16,055 - Player: 1 | Cards Played: [TD] | Boss Defeated: True | Player Died: False
2025-01-04 22:51:16,055 - Player: 1 | Cards Played: [2D] | Boss Defeated: False | Player Died: False
2025-01-04 22:51:16,055 - Player: 2 | Cards Played: [AS] | Boss Defeated: False | Player Died: False
2025-01-04 22:51:16,055 - Player: 1 | Cards Played: [9D] | Boss Defeated: False | Player Died: False
2025-01-04 22:51:16,055 - Player: 2 | Cards Played: [5H] | Boss Defeated: False | Player Died: False
2025-01-04 22:51:16,055 - Player: 1 | Cards Played: [6D] | Boss Defeated: True | Player Died: False
2025-01-04 22:51:16,055 - Player: 1 | Cards Played: [4D] | Boss Defeated: False | Player Died: False
2025-01-04 22:51:16,055 - Player: 2 | Cards Played: [3C, 3H] | Boss Defeated: False | Player Died: False
2025-01-04 22:51:16,055 - Player: 1 | Cards Played: [AC, 8D] | Boss Defeated: True | Player Died: False
2025-01-04 22:51:16,055 - Player: 1 | Cards Played: [5D, 5S] | Boss Defeated: False | Player Died: False
2025-01-04 22:51:16,055 - Player: 2 | Cards Played: [7H] | Boss Defeated: False | Player Died: False
2025-01-04 22:51:16,055 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 22:51:16,055 - Player: 2 | Cards Played: [6H] | Boss Defeated: True | Player Died: False
2025-01-04 22:51:16,055 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 22:51:16,055 - Player: 1 | Cards Played: [TD] | Boss Defeated: False | Player Died: False
2025-01-04 22:51:16,055 - Player: 2 | Cards Played: [9S] | Boss Defeated: False | Player Died: False
2025-01-04 22:51:16,055 - Player: 1 | Cards Played: [3D] | Boss Defeated: False | Player Died: False
2025-01-04 22:51:16,055 - Player: 2 | Cards Played: [AD, 3S] | Boss Defeated: False | Player Died: False
2025-01-04 22:51:16,055 - Player: 1 | Cards Played: [2D] | Boss Defeated: False | Player Died: False
2025-01-04 22:51:16,055 - Player: 2 | Cards Played: [2C] | Boss Defeated: True | Player Died: False
2025-01-04 22:51:16,055 - Player: 2 | Cards Played: [4S] | Boss Defeated: False | Player Died: False
2025-01-04 22:51:16,055 - Player: 1 | Cards Played: [9C] | Boss Defeated: False | Player Died: False
2025-01-04 22:51:16,055 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 22:51:16,055 - Player: 1 | Cards Played: [5H] | Boss Defeated: False | Player Died: True
