2025-01-04 22:56:11,573 - I log actions! :D
2025-01-04 22:56:12,068 - Player: 1 | Cards Played: [AH] | Boss Defeated: False | Player Died: False
2025-01-04 22:56:12,068 - Player: 2 | Cards Played: [5C, 5S] | Boss Defeated: False | Player Died: False
2025-01-04 22:56:12,068 - Player: 1 | Cards Played: [4D] | Boss Defeated: False | Player Died: False
2025-01-04 22:56:12,068 - Player: 2 | Cards Played: [3D, 3S] | Boss Defeated: True | Player Died: False
2025-01-04 22:56:12,068 - Player: 2 | Cards Played: [9S] | Boss Defeated: False | Player Died: False
2025-01-04 22:56:12,068 - Player: 1 | Cards Played: [3C] | Boss Defeated: False | Player Died: False
2025-01-04 22:56:12,068 - Player: 2 | Cards Played: [AD, 7D] | Boss Defeated: True | Player Died: False
2025-01-04 22:56:12,068 - Player: 2 | Cards Played: [8S] | Boss Defeated: False | Player Died: False
2025-01-04 22:56:12,068 - Player: 1 | Cards Played: [7H] | Boss Defeated: False | Player Died: False
2025-01-04 22:56:12,068 - Player: 2 | Cards Played: [8D] | Boss Defeated: True | Player Died: False
2025-01-04 22:56:12,068 - Player: 2 | Cards Played: [6D] | Boss Defeated: False | Player Died: False
2025-01-04 22:56:12,068 - Player: 1 | Cards Played: [6S] | Boss Defeated: False | Player Died: False
2025-01-04 22:56:12,068 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 22:56:12,068 - Player: 1 | Cards Played: [4S] | Boss Defeated: False | Player Died: False
2025-01-04 22:56:12,068 - Player: 2 | Cards Played: [9D] | Boss Defeated: True | Player Died: False
2025-01-04 22:56:12,068 - Player: 2 | Cards Played: [AC, 9C] | Boss Defeated: False | Player Died: False
2025-01-04 22:56:12,068 - Player: 1 | Cards Played: [9H] | Boss Defeated: False | Player Died: False
2025-01-04 22:56:12,068 - Player: 2 | Cards Played: [7D] | Boss Defeated: True | Player Died: False
2025-01-04 22:56:12,068 - Player: 2 | Cards Played: [AD, TC] | Boss Defeated: False | Player Died: False
2025-01-04 22:56:12,068 - Player: 1 | Cards Played: [3H] | Boss Defeated: False | Player Died: False
2025-01-04 22:56:12,068 - Player: 2 | Cards Played: [8D] | Boss Defeated: True | Player Died: False
2025-01-04 22:56:12,069 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: True
