Blind - Heavy - 2

2025-01-04 23:13:56,073 - Player: 1 | Cards Played: [TC] | Boss Defeated: True | Player Died: False
2025-01-04 23:13:56,074 - Player: 1 | Cards Played: [5S] | Boss Defeated: False | Player Died: False
2025-01-04 23:13:56,074 - Player: 2 | Cards Played: [3D] | Boss Defeated: False | Player Died: False
2025-01-04 23:13:56,074 - Player: 1 | Cards Played: [2H] | Boss Defeated: False | Player Died: False
2025-01-04 23:13:56,074 - Player: 2 | Cards Played: [AD, 8H] | Boss Defeated: False | Player Died: False
2025-01-04 23:13:56,074 - Player: 1 | Cards Played: [2C, 2D, 2S] | Boss Defeated: True | Player Died: False
2025-01-04 23:13:56,074 - Player: 1 | Cards Played: [AH, 4D] | Boss Defeated: False | Player Died: False
2025-01-04 23:13:56,074 - Player: 2 | Cards Played: [AS, 3S] | Boss Defeated: False | Player Died: False
2025-01-04 23:13:56,074 - Player: 1 | Cards Played: [TH] | Boss Defeated: False | Player Died: False
2025-01-04 23:13:56,074 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 23:13:56,074 - Player: 1 | Cards Played: [9D] | Boss Defeated: True | Player Died: False
2025-01-04 23:13:56,074 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 23:13:56,074 - Player: 2 | Cards Played: [6H] | Boss Defeated: False | Player Died: False
2025-01-04 23:13:56,074 - Player: 1 | Cards Played: [7D] | Boss Defeated: False | Player Died: False
2025-01-04 23:13:56,074 - Player: 2 | Cards Played: [2H] | Boss Defeated: False | Player Died: False
2025-01-04 23:13:56,074 - Player: 1 | Cards Played: [JH] | Boss Defeated: True | Player Died: False
2025-01-04 23:13:56,074 - Player: 1 | Cards Played: [6D] | Boss Defeated: False | Player Died: False
2025-01-04 23:13:56,074 - Player: 2 | Cards Played: [5D] | Boss Defeated: False | Player Died: False
2025-01-04 23:13:56,074 - Player: 1 | Cards Played: [9D] | Boss Defeated: False | Player Died: False
2025-01-04 23:13:56,074 - Player: 2 | Cards Played: [AH, JD] | Boss Defeated: True | Player Died: False
2025-01-04 23:13:56,074 - Player: 2 | Cards Played: [TS] | Boss Defeated: False | Player Died: False
2025-01-04 23:13:56,074 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 23:13:56,074 - Player: 2 | Cards Played: [AS, 4H] | Boss Defeated: False | Player Died: False
2025-01-04 23:13:56,074 - Player: 1 | Cards Played: [8D] | Boss Defeated: False | Player Died: False
2025-01-04 23:13:56,074 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 23:13:56,074 - Player: 1 | Cards Played: [2D] | Boss Defeated: False | Player Died: False
2025-01-04 23:13:56,074 - Player: 2 | Cards Played: [4C] | Boss Defeated: False | Player Died: False
2025-01-04 23:13:56,074 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 23:13:56,074 - Player: 2 | Cards Played: [AD, 7H] | Boss Defeated: True | Player Died: False
2025-01-04 23:13:56,074 - Player: 2 | Cards Played: [8S] | Boss Defeated: False | Player Died: False
2025-01-04 23:13:56,074 - Player: 1 | Cards Played: [9S] | Boss Defeated: False | Player Died: False
2025-01-04 23:13:56,074 - Player: 2 | Cards Played: [TH] | Boss Defeated: False | Player Died: False
2025-01-04 23:13:56,074 - Player: 1 | Cards Played: [3S] | Boss Defeated: True | Player Died: False
