Heuristics - Heavy - 5

2025-01-04 22:35:48,263 - Player: 1 | Cards Played: [AS, 9C] | Boss Defeated: True | Player Died: False
2025-01-04 22:35:48,264 - Player: 1 | Cards Played: [2S] | Boss Defeated: False | Player Died: False
2025-01-04 22:35:48,264 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 22:35:48,264 - Player: 1 | Cards Played: [5D, 5S] | Boss Defeated: False | Player Died: False
2025-01-04 22:35:48,264 - Player: 2 | Cards Played: [4S] | Boss Defeated: False | Player Died: False
2025-01-04 22:35:48,264 - Player: 1 | Cards Played: [2D] | Boss Defeated: False | Player Died: False
2025-01-04 22:35:48,264 - Player: 2 | Cards Played: [AH] | Boss Defeated: False | Player Died: False
2025-01-04 22:35:48,264 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 22:35:48,264 - Player: 2 | Cards Played: [4D] | Boss Defeated: True | Player Died: False
2025-01-04 22:35:48,264 - Player: 2 | Cards Played: [3D, 3H] | Boss Defeated: False | Player Died: False
2025-01-04 22:35:48,264 - Player: 1 | Cards Played: [TH] | Boss Defeated: False | Player Died: False
2025-01-04 22:35:48,264 - Player: 2 | Cards Played: [3S] | Boss Defeated: False | Player Died: False
2025-01-04 22:35:48,264 - Player: 1 | Cards Played: [JD] | Boss Defeated: True | Player Died: False
2025-01-04 22:35:48,264 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 22:35:48,264 - Player: 2 | Cards Played: [2H] | Boss Defeated: False | Player Died: False
2025-01-04 22:35:48,264 - Player: 1 | Cards Played: [6D] | Boss Defeated: False | Player Died: False
2025-01-04 22:35:48,264 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 22:35:48,264 - Player: 1 | Cards Played: [2D] | Boss Defeated: False | Player Died: False
2025-01-04 22:35:48,264 - Player: 2 | Cards Played: [4H, 4S] | Boss Defeated: False | Player Died: False
2025-01-04 22:35:48,264 - Player: 1 | Cards Played: [AD] | Boss Defeated: False | Player Died: False
2025-01-04 22:35:48,264 - Player: 2 | Cards Played: [9D] | Boss Defeated: True | Player Died: False
2025-01-04 22:35:48,264 - Player: 2 | Cards Played: [AH, 9C] | Boss Defeated: False | Player Died: False
2025-01-04 22:35:48,264 - Player: 1 | Cards Played: [TD] | Boss Defeated: True | Player Died: False
2025-01-04 22:35:48,264 - Player: 1 | Cards Played: [8S] | Boss Defeated: False | Player Died: False
2025-01-04 22:35:48,264 - Player: 2 | Cards Played: [AS, 8D] | Boss Defeated: False | Player Died: False
2025-01-04 22:35:48,264 - Player: 1 | Cards Played: [4D, 4H] | Boss Defeated: False | Player Died: False
2025-01-04 22:35:48,264 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
