Max Runs,Max Time,Players,Heuristics,Bosses Defeated,Castle % Defeated,Turns Survived,Bosses/Turn
20,1.0,2,True,4,33.33,19,0.21
20,1.0,2,True,5,41.67,19,0.26
20,1.0,2,True,5,41.67,16,0.31
20,1.0,2,True,5,41.67,21,0.24
20,1.0,2,True,5,41.67,25,0.2
500,5.0,2,True,10,83.33,46,0.22
500,5.0,2,True,8,66.67,41,0.2
500,5.0,2,True,9,75.0,51,0.18
500,5.0,2,True,5,41.67,24,0.21
500,5.0,2,True,8,66.67,38,0.21
10000,10.0,2,True,5,41.67,28,0.18
10000,10.0,2,True,9,75.0,48,0.19
10000,10.0,2,True,8,66.67,39,0.21
10000,10.0,2,True,8,66.67,35,0.23
10000,10.0,2,True,12,100.0,62,0.19
